1.000000000000000000e+00 4.861711417714197764e-04
     0.999938    0.000490
     0.999751    0.000502
     0.999439    0.000522
     0.999003    0.000551
     0.998443    0.000588
     0.997759    0.000634
     0.996950    0.000690
     0.996018    0.000756
     0.994962    0.000833
     0.993782    0.000921
     0.992480    0.001021
     0.991055    0.001135
     0.989507    0.001262
     0.987838    0.001405
     0.986046    0.001564
     0.984134    0.001739
     0.982101    0.001933
     0.979948    0.002147
     0.977675    0.002381
     0.975284    0.002636
     0.972774    0.002915
     0.970146    0.003218
     0.967400    0.003546
     0.964539    0.003901
     0.961561    0.004284
     0.958469    0.004695
     0.955262    0.005137
     0.951942    0.005610
     0.948509    0.006116
     0.944964    0.006654
     0.941309    0.007227
     0.937544    0.007835
     0.933669    0.008479
     0.929686    0.009160
     0.925597    0.009877
     0.921401    0.010633
     0.917100    0.011426
     0.912695    0.012258
     0.908188    0.013129
     0.903579    0.014039
     0.898869    0.014988
     0.894059    0.015975
     0.889152    0.017001
     0.884147    0.018065
     0.879047    0.019167
     0.873852    0.020305
     0.868565    0.021480
     0.863185    0.022691
     0.857715    0.023936
     0.852155    0.025215
     0.846508    0.026526
     0.840775    0.027868
     0.834956    0.029240
     0.829054    0.030640
     0.823070    0.032067
     0.817006    0.033518
     0.810862    0.034993
     0.804642    0.036489
     0.798345    0.038004
     0.791974    0.039537
     0.785530    0.041086
     0.779014    0.042647
     0.772430    0.044220
     0.765777    0.045803
     0.759059    0.047392
     0.752275    0.048986
     0.745429    0.050582
     0.738522    0.052178
     0.731555    0.053773
     0.724530    0.055363
     0.717450    0.056947
     0.710315    0.058523
     0.703128    0.060087
     0.695890    0.061639
     0.688604    0.063175
     0.681270    0.064695
     0.673891    0.066195
     0.666469    0.067674
     0.659006    0.069130
     0.651503    0.070560
     0.643962    0.071965
     0.636385    0.073340
     0.628774    0.074685
     0.621131    0.075999
     0.613458    0.077279
     0.605757    0.078524
     0.598029    0.079733
     0.590277    0.080904
     0.582502    0.082037
     0.574707    0.083130
     0.566893    0.084181
     0.559063    0.085191
     0.551217    0.086157
     0.543359    0.087080
     0.535491    0.087958
     0.527613    0.088791
     0.519728    0.089579
     0.511839    0.090320
     0.503947    0.091014
     0.496053    0.091661
     0.488161    0.092260
     0.480272    0.092812
     0.472387    0.093316
     0.464509    0.093773
     0.456641    0.094181
     0.448783    0.094541
     0.440937    0.094854
     0.433107    0.095118
     0.425293    0.095335
     0.417498    0.095504
     0.409723    0.095627
     0.401971    0.095702
     0.394243    0.095731
     0.386542    0.095713
     0.378869    0.095649
     0.371226    0.095540
     0.363615    0.095385
     0.356038    0.095185
     0.348497    0.094941
     0.340994    0.094653
     0.333531    0.094321
     0.326109    0.093945
     0.318730    0.093527
     0.311396    0.093066
     0.304110    0.092564
     0.296872    0.092019
     0.289685    0.091433
     0.282550    0.090807
     0.275470    0.090140
     0.268445    0.089433
     0.261478    0.088687
     0.254571    0.087902
     0.247725    0.087079
     0.240941    0.086217
     0.234223    0.085319
     0.227570    0.084383
     0.220986    0.083412
     0.214470    0.082406
     0.208026    0.081365
     0.201655    0.080290
     0.195358    0.079182
     0.189138    0.078043
     0.182994    0.076873
     0.176930    0.075673
     0.170946    0.074444
     0.165044    0.073188
     0.159225    0.071907
     0.153492    0.070600
     0.147845    0.069270
     0.142285    0.067919
     0.136815    0.066547
     0.131435    0.065158
     0.126148    0.063751
